2015/02/12,龍潭,PM2.5,36,29,35,31,43,41,51,52,58,58,58,52,41,35,30,32,39,43,53,47,50,42,34,30
2015/02/13,龍潭,PM2.5,25,32,23,29,23,29,28,36,38,37,29,30,30,30,27,31,38,36,45,49,55,53,48,48
2015/02/14,龍潭,PM2.5,36,37,33,33,31,29,31,31,31,36,41,49,57,57,56,43,48,49,68,70,90,87,75,59
2015/02/15,龍潭,PM2.5,43,48,34,37,32,38,29,33,27,31,35,52,61,60,52,53,60,63,63,55,51,48,40,38
2015/02/16,龍潭,PM2.5,36,35,23,16,16.41,16.9,17.48,18.85,9,7,19,32,35,28,20,20,23,23,34,39,41,34,25,27
2015/02/17,龍潭,PM2.5,19,26,21,22,21,27,32,37,45,52,55,53,55,53,59,55,51,40,36,36,35,42,37,50
2015/02/18,龍潭,PM2.5,49,56,45,39,42,42,48,46,48,43,45,45,49,38,42,38,45,42,37,41,38,38,29,26
2015/02/19,龍潭,PM2.5,31,29,31,29,33,31,39,39,42,39,40,37,32,32,32,27,24,20,26,20,28,23,27,23
2015/02/20,龍潭,PM2.5,26,21,17,12,11,6,9,13,13,15,19,22,25,20,21,22,21,24,23,30,71,74,68,29
2015/02/21,龍潭,PM2.5,20,24,26,22,17,14,22,25,25,25,27,30,30,21,18,21,32,33,45,40,59,62,69,74
2015/02/22,龍潭,PM2.5,68,70,48,39,26,36,49,52,38,23,25,35,36,34,32,32,28,27,24,26,25,32,27,22
2015/02/23,龍潭,PM2.5,12,12,13,9,10,16,18,21,18,25,33,30,26,17,22,20,17,17,14,22,12,20,13,15
2015/02/24,龍潭,PM2.5,15,10,14,5,7,1,12,12,17,13,20,19,20,17,13,14,17,24,32,29,27,28,26,23
2015/02/25,龍潭,PM2.5,11,13,12,14,11,15,17,16,14,12,20,26,34,34,35,21,16,18,16,25,22,36,33,37
2015/02/26,龍潭,PM2.5,18.76,18.02,17.22,16.7,16.41,16.9,17.48,18.85,19.93,37,35,39,36,23.54,26,16,8,8,7,13,18,18,7,7
2015/02/27,龍潭,PM2.5,8,13,8,5,7,13,16,15,15,9,14,11,16,24,19,26,19,19,7,7,9,16,11,9
2015/02/28,龍潭,PM2.5,1,1,8,8,14,14,15,20,18,26,19,24,22,20,19,12,24,18,20,11,14,23,28,20
2015/03/01,龍潭,PM2.5,9,12,12,12,3,5,5,3,6,6,12,6,14,7,14,11,20,18,21,21,24,22,24,19
2015/03/02,龍潭,PM2.5,14,9,14,17,26,25,31,28,29,31,22,27,19,23,20,28,32,33,33,33,33,36,39,41
2015/03/03,龍潭,PM2.5,36,34,30,29,24,31,39,47,49,47,48,40,42,23.54,27,26,32,45,48,47,54,60,42,23
2015/03/04,龍潭,PM2.5,8,8,17,23,31,36,38,38,31,25,20,18,17,12,11,15,19,14,14,13,13,9,4,4
2015/03/05,龍潭,PM2.5,4,8,8,3,6,6,13,15,16,13,5,12,13,12,17,20,28,23,27,29,22,11,4,4
2015/03/06,龍潭,PM2.5,14,13,15,6,4,4,3,3,7,8,17,11,14,7,11,12,14,15,10,7,9,9,12,5
